,#Karmn,Name
203,J02142-039,LP 649-072
204,J02149+174,GJ 1045
205,J02153+074,Wolf 127
206,J02155+339,G 074-011
207,J02158-126,LP 709-062
208,J02164+135,LP 469-206
209,J02171+354,LP 245-010
210,J02185+207,G 035-039
211,J02186+123,RX J0218.6+1219 2
212,J02190+238,LTT 10787
213,J02190+353,Ross 19
214,J02204+377,LP 245-017 AB
215,J02207+029,LTT 17354
216,J02210+368,GJ 1047 AB
217,J02222+478,BD+47 612
218,J02230+181,StKM 1-261
219,J02234+227,LP 353-051
220,J02247+259,LP 353-074
221,J02254+246,StKM 1-265
222,J02256+375,G 074-025
223,J02272+545,2M J02271705+5432479
224,J02274+031,2M J02272756+0310548
225,J02277+044,BD+03 339
226,J02282+014,G 075-016
227,J02283+219,TYC 1221-1171-1
228,J02285-200,GJ 100C
229,J02287+156,BPM 85139
230,J02289+120,[R78b] 140
231,J02289+226,BPM 85140
232,J02292+195,LP 410-033
233,J02293+884,LP 001-052
234,J02314+573,Ross 21
235,J02330+078,LP 530-026
236,J02336+249,GJ 102
237,J02337+150,LP 470-030
238,J02340+417,G 074-029
239,J02345+566,G 174-004
240,J02353+235,2E 591
241,J02358+202,BD+19 381
242,J02362+068,BX Cet
243,J02364+554,G 173-061
244,J02367+226,G 036-026
245,J02367+320,G 074-034 AB
246,J02392+074,G 076-019
247,J02412-045,G 075-035
248,J02419+435,StKM 1-291
249,J02424+182,LP 410-081
250,J02438-088,Wolf 1132
251,J02441+492,tet Per B
252,J02442+255,VX Ari
253,J02443+109E,2M J02442272+1057349
254,J02443+109W,MCC 401
255,J02455+449,G 078-003
256,J02456+449,G 078-004
257,J02462-049,LP 651-007
258,J02465+164,LP 411-006
259,J02502+628,G 246-012
260,J02518+062,NLTT 9155
261,J02518+294,LP 298-042
262,J02519+224,RBS 365
263,J02524+269,LP 354-423
264,J02530+168,Teegardens Star
265,J02534+174,NLTT 9223
266,J02555+268,HD 18143 C
267,J02560-006,LP 591-156
